category,level,henkel_code,norm_key
Industrial adhesives,Level 1,2.3.5.4.1,industrialadhesives
Industrial adhesive tapes,Level 2,2.3.5.4.1.20,industrialadhesivetapes
Contact adhesives,Level 2,2.3.5.4.1.21,contactadhesives
Die attach adhesives,Level 2,2.3.5.4.1.2,dieattachadhesives
Die attach films,Level 3,2.3.5.4.1.2.1,dieattachfilms
Die attach pastes,Level 3,2.3.5.4.1.2.2,dieattachpastes
Electrically conductive die attach pastes,Level 3,2.3.5.4.1.2.5,electricallyconductivedieattachpastes
Electrically non-conductive die attach pastes,Level 3,2.3.5.4.1.2.3,electricallynonconductivedieattachpastes
Semi sintering die attach pastes,Level 3,2.3.5.4.1.2.4,semisinteringdieattachpastes
Electrically conductive adhesives,Level 2,2.3.5.4.1.1,electricallyconductiveadhesives
Electrically non-conductive adhesives,Level 2,2.3.5.4.1.6,electricallynonconductiveadhesives
Film adhesives,Level 2,2.3.5.4.1.22,filmadhesives
Flexible adhesives,Level 2,2.3.5.4.1.3,flexibleadhesives
Hot melt adhesives,Level 2,2.3.5.4.1.4,hotmeltadhesives
Instant adhesives,Level 2,2.3.5.4.1.5,instantadhesives
Laminating adhesives,Level 2,2.3.5.4.1.18,laminatingadhesives
Optically clear adhesives,Level 2,2.3.5.4.1.19,opticallyclearadhesives
Pressure sensitive adhesives,Level 2,2.3.5.4.1.7,pressuresensitiveadhesives
Pre-applied adhesives,Level 2,2.3.5.4.1.8,preappliedadhesives
Adhesive primers,Level 2,2.3.5.4.1.23,adhesiveprimers
Adhesive activators,Level 2,2.3.5.4.1.24,adhesiveactivators
Adhesive accelerators,Level 2,2.3.5.4.1.25,adhesiveaccelerators
Pretreatment cleaners for adhesives,Level 2,2.3.5.4.1.26,pretreatmentcleanersforadhesives
Retaining compounds,Level 2,2.3.5.4.1.9,retainingcompounds
Solvent based adhesives,Level 2,2.3.5.4.1.10,solventbasedadhesives
Structural adhesives,Level 2,2.3.5.4.1.11,structuraladhesives
Structural foams,Level 2,2.3.5.4.1.27,structuralfoams
Surface mount adhesives,Level 2,2.3.5.4.1.12,surfacemountadhesives
Threadlockers,Level 2,2.3.5.4.1.13,threadlockers
Light curing adhesives,Level 2,2.3.5.4.1.15,lightcuringadhesives
Water based adhesives,Level 2,2.3.5.4.1.16,waterbasedadhesives
Windshield adhesives,Level 2,2.3.5.4.1.17,windshieldadhesives
